  No.,Time,Snd/Rcv,Dest,Src,Priority,PGN,Data
19874,78.662,Receive,17,30,5,61184,86 07 7F 01 FF FF FC FF 
19875,78.665,Receive,30,17,5,61184,04 7F 00 7F 7F 00 00 FF 
19876,78.666,Receive,255,81,6,61454,8C 0F 47 F4 55 1F FF FF 
19877,78.671,Receive,17,30,5,61184,80 00 00 00 FF 03 FF 03 
19878,78.676,Receive,30,17,5,61184,05 00 0D 00 00 7F 7F FF 
19879,78.681,Receive,17,30,5,61184,81 CF 03 0F 00 00 00 00 
19880,78.687,Receive,30,17,5,61184,04 7F 00 7F 7F 00 00 FF 
19881,78.689,Receive,255,242,6,59904,07 FD 01 
19882,78.691,Receive,17,30,5,61184,82 FF 87 61 00 00 00 00 
19883,78.698,Receive,30,17,5,61184,05 00 0D 00 00 7F 7F FF 
19884,78.701,Receive,17,30,5,61184,83 FF 3F 75 00 00 00 00 
19885,78.709,Receive,30,17,5,61184,04 7F 00 7F 7F 00 00 FF 
19886,78.711,Receive,17,30,5,61184,84 00 00 00 00 00 00 FF 
19887,78.713,Receive,17,30,5,61184,86 08 7F 01 FF FF FC FF 
19888,78.716,Receive,255,81,6,61454,8C 0F 47 F4 55 1F FF FF 
19889,78.72,Receive,30,17,5,61184,05 00 0D 00 00 7F 7F FF 
19890,78.721,Receive,17,30,5,61184,80 00 00 00 FF 03 FF 03 
19891,78.734,Receive,30,17,5,61184,04 7F 00 7F 7F 00 00 FF 
19892,78.735,Receive,17,30,5,61184,81 CF 03 0F 00 00 00 00 
19893,78.74,Receive,0,242,6,59904,E8 FE 00 
19894,78.741,Receive,17,30,5,61184,82 FF 87 61 00 00 00 00 
19895,78.742,Receive,30,17,5,61184,05 00 0D 00 00 7F 7F FF 
19896,78.752,Receive,17,30,5,61184,83 FF 3F 75 00 00 00 00 
19897,78.753,Receive,30,17,5,61184,04 7F 00 7F 7F 00 00 FF 
19898,78.762,Receive,17,30,5,61184,85 00 00 00 00 00 00 FF 
19899,78.764,Receive,17,30,5,61184,86 09 7F 01 FF FF FC FF 
19900,78.764,Receive,30,17,5,61184,05 00 0D 00 00 7F 7F FF 
19901,78.766,Receive,255,81,6,61454,8C 0F 0C F4 55 1F FF FF 
19902,78.772,Receive,17,30,5,61184,80 00 00 00 FF 03 FF 03 
19903,78.775,Receive,30,17,5,61184,04 7F 00 7F 7F 00 00 FF 
19904,78.782,Receive,17,30,5,61184,81 CF 03 0F 00 00 00 00 
19905,78.787,Receive,30,17,5,61184,05 00 0D 00 00 7F 7F FF 
19906,78.791,Receive,255,242,6,59904,E8 FE 00 
19907,78.792,Receive,17,30,5,61184,82 FF 87 61 00 00 00 00 
19908,78.798,Receive,30,17,5,61184,04 7F 00 7F 7F 00 00 FF 
19909,78.802,Receive,17,30,5,61184,83 FF 3F 75 00 00 00 00 
19910,78.809,Receive,30,17,5,61184,05 00 0D 00 00 7F 7F FF 
19911,78.812,Receive,17,30,5,61184,84 00 00 00 00 00 00 FF 
19912,78.814,Receive,17,30,5,61184,86 0A 7F 01 FF FF FC FF 
19913,78.816,Receive,255,81,6,61454,8C 0F 0C F4 55 1F FF FF 
19914,78.82,Receive,30,17,5,61184,04 7F 00 7F 7F 00 00 FF 
19915,78.823,Receive,17,30,5,61184,80 00 00 00 FF 03 FF 03 
19916,78.831,Receive,30,17,5,61184,05 00 0D 00 00 7F 7F FF 
19917,78.832,Receive,17,30,5,61184,81 CF 03 0F 00 00 00 00 
19918,78.842,Receive,0,242,6,59904,D3 FF 00 
19919,78.842,Receive,30,17,5,61184,04 7F 00 7F 7F 00 00 FF 
19920,78.843,Receive,17,30,5,61184,82 FF 87 61 00 00 00 00 
19921,78.853,Receive,17,30,5,61184,83 FF 3F 75 00 00 00 00 
19922,78.853,Receive,30,17,5,61184,05 00 0D 00 00 7F 7F FF 
19923,78.863,Receive,17,30,5,61184,85 00 00 00 00 00 00 FF 
19924,78.864,Receive,30,17,5,61184,04 7F 00 7F 7F 00 00 FF 
19925,78.865,Receive,17,30,5,61184,86 0B 7F 01 FF FF FC FF 
