No.,Time,Snd/Rc,Dest,Src,Priority,PGN,NOx Raw,O2 Raw,Status,Heater,Error NOx,Error O2
377,5.229,Receive,255,0,6,65247,65535,65535,255,255,255,5
378,5.229,Receive,255,0,6,65247,65535,65535,255,255,255,5
379,5.249,Receive,255,0,6,65247,65535,65535,255,255,255,5
380,5.249,Receive,255,0,6,65247,65535,65535,255,255,255,5
381,5.251,Receive,255,81,6,61454,3984,62597,85,159,31,255
382,5.251,Receive,255,81,6,61454,3984,62597,85,159,31,255
383,5.269,Receive,255,0,6,65247,65535,65535,255,255,255,5
384,5.269,Receive,255,0,6,65247,65535,65535,255,255,255,5
385,5.274,Receive,255,82,6,61455,3976,62812,85,159,31,255
386,5.274,Receive,255,82,6,61455,3976,62812,85,159,31,255
387,5.289,Receive,255,0,6,65247,65535,65535,255,255,255,5
388,5.289,Receive,255,0,6,65247,65535,65535,255,255,255,5
389,5.301,Receive,255,81,6,61454,3984,62602,85,159,31,255
390,5.301,Receive,255,81,6,61454,3984,62602,85,159,31,255
391,5.309,Receive,255,0,6,65247,65535,65535,255,255,255,5
392,5.309,Receive,255,0,6,65247,65535,65535,255,255,255,5
393,5.324,Receive,255,82,6,61455,3976,62812,85,159,31,255
394,5.324,Receive,255,82,6,61455,3976,62812,85,159,31,255
395,5.329,Receive,255,0,6,65247,65535,65535,255,255,255,5
396,5.329,Receive,255,0,6,65247,65535,65535,255,255,255,5
397,5.349,Receive,255,0,6,65247,65535,65535,255,255,255,5
398,5.349,Receive,255,0,6,65247,65535,65535,255,255,255,5
399,5.351,Receive,255,81,6,61454,3984,62602,85,159,31,255
400,5.351,Receive,255,81,6,61454,3984,62602,85,159,31,255
401,5.369,Receive,255,0,6,65247,65535,65535,255,255,255,5
402,5.369,Receive,255,0,6,65247,65535,65535,255,255,255,5
403,5.374,Receive,255,82,6,61455,3976,62812,85,159,31,255
404,5.374,Receive,255,82,6,61455,3976,62812,85,159,31,255
405,5.389,Receive,255,0,6,65247,65535,65535,255,255,255,5
406,5.389,Receive,255,0,6,65247,65535,65535,255,255,255,5
407,5.401,Receive,255,81,6,61454,3984,62602,85,159,31,255
408,5.401,Receive,255,81,6,61454,3984,62602,85,159,31,255
409,5.409,Receive,255,0,6,65247,65535,65535,255,255,255,5
410,5.409,Receive,255,0,6,65247,65535,65535,255,255,255,5
411,5.424,Receive,255,82,6,61455,3968,62812,85,159,31,255
412,5.424,Receive,255,82,6,61455,3968,62812,85,159,31,255
413,5.429,Receive,255,0,6,65247,65535,65535,255,255,255,5
414,5.429,Receive,255,0,6,65247,65535,65535,255,255,255,5
